vehicle_id,customer_id,make,model,v_year,color,interior_color,miles,v_condition,repair_cost,book_price,sale_price,issue_log
11,2,Ford,Focus,2005,Goldenrod,Aquamarine,109508,1,71.73,42602.35,91595.0525,"PRAESENT BLANDIT. NAM NULLA. INTEGER PEDE JUSTO, LACINIA EGET, TINCIDUNT EGET, TEMPUS VEL, PEDE. MORBI PORTTITOR LOREM ID LIGULA. SUSPENDISSE ORNARE CONSEQUAT LECTUS. IN EST RISUS, AUCTOR SED, TRISTIQUE IN, TEMPUS SIT AMET, SEM. FUSCE CONSEQUAT. NULLA NISL."
12,,Acura,Integra,2001,Teal,Violet,43469,1,9980.42,35675.77,76702.9055,
13,54,Plymouth,Colt Vista,1994,Green,Violet,113176,2,7001.36,97714.68,210086.562,"IN TEMPOR, TURPIS NEC EUISMOD SCELERISQUE, QUAM TURPIS ADIPISCING LOREM, VITAE MATTIS NIBH LIGULA NEC SEM. DUIS ALIQUAM CONVALLIS NUNC. PROIN AT TURPIS A PEDE POSUERE NONUMMY. INTEGER NON VELIT. DONEC DIAM NEQUE, VESTIBULUM EGET, VULPUTATE UT, ULTRICES VEL, AUGUE. VESTIBULUM ANTE IPSUM PRIMIS IN FAUCIBUS ORCI LUCTUS ET ULTRICES POSUERE CUBILIA CURAE; DONEC PHARETRA, MAGNA VESTIBULUM ALIQUET ULTRICES, ERAT TORTOR SOLLICITUDIN MI, SIT AMET LOBORTIS SAPIEN SAPIEN NON MI."
14,11,Mercury,Cougar,1984,Green,Orange,219414,0,9124.23,32011.18,68824.037,"DUIS CONSEQUAT DUI NEC NISI VOLUTPAT ELEIFEND. DONEC UT DOLOR. MORBI VEL LECTUS IN QUAM FRINGILLA RHONCUS. MAURIS ENIM LEO, RHONCUS SED, VESTIBULUM SIT AMET, CURSUS ID, TURPIS. INTEGER ALIQUET, MASSA ID LOBORTIS CONVALLIS, TORTOR RISUS DAPIBUS AUGUE, VEL ACCUMSAN TELLUS NISI EU ORCI. MAURIS LACINIA SAPIEN QUIS LIBERO. NULLAM SIT AMET TURPIS ELEMENTUM LIGULA VEHICULA CONSEQUAT. MORBI A IPSUM. INTEGER A NIBH."
15,42,Pontiac,Firefly,1985,Turquoise,Orange,70512,3,7926.06,16887.31,36307.7165,"CURABITUR CONVALLIS. DUIS CONSEQUAT DUI NEC NISI VOLUTPAT ELEIFEND. DONEC UT DOLOR. MORBI VEL LECTUS IN QUAM FRINGILLA RHONCUS. MAURIS ENIM LEO, RHONCUS SED, VESTIBULUM SIT AMET, CURSUS ID, TURPIS. INTEGER ALIQUET, MASSA ID LOBORTIS CONVALLIS, TORTOR RISUS DAPIBUS AUGUE, VEL ACCUMSAN TELLUS NISI EU ORCI. MAURIS LACINIA SAPIEN QUIS LIBERO. NULLAM SIT AMET TURPIS ELEMENTUM LIGULA VEHICULA CONSEQUAT. MORBI A IPSUM."
16,93,Mazda,B-Series,1988,Green,Maroon,169411,2,4644.81,83843.5,180263.525,"DUIS BIBENDUM, FELIS SED INTERDUM VENENATIS, TURPIS ENIM BLANDIT MI, IN PORTTITOR PEDE JUSTO EU MASSA. DONEC DAPIBUS."
17,89,Chevrolet,G-Series 1500,1997,Red,Khaki,37242,1,9921.07,9930.42,21350.403,"NULLA AC ENIM. IN TEMPOR, TURPIS NEC EUISMOD SCELERISQUE, QUAM TURPIS ADIPISCING LOREM, VITAE MATTIS NIBH LIGULA NEC SEM. DUIS ALIQUAM CONVALLIS NUNC. PROIN AT TURPIS A PEDE POSUERE NONUMMY. INTEGER NON VELIT. DONEC DIAM NEQUE, VESTIBULUM EGET, VULPUTATE UT, ULTRICES VEL, AUGUE. VESTIBULUM ANTE IPSUM PRIMIS IN FAUCIBUS ORCI LUCTUS ET ULTRICES POSUERE CUBILIA CURAE; DONEC PHARETRA, MAGNA VESTIBULUM ALIQUET ULTRICES, ERAT TORTOR SOLLICITUDIN MI, SIT AMET LOBORTIS SAPIEN SAPIEN NON MI. INTEGER AC NEQUE."
18,10,Dodge,Ram 1500,2000,Indigo,Yellow,268627,3,6556.24,7744.77,16651.2555,"DUIS BIBENDUM, FELIS SED INTERDUM VENENATIS, TURPIS ENIM BLANDIT MI, IN PORTTITOR PEDE JUSTO EU MASSA. DONEC DAPIBUS. DUIS AT VELIT EU EST CONGUE ELEMENTUM. IN HAC HABITASSE PLATEA DICTUMST."
19,26,Eagle,Talon,1995,Violet,Indigo,164557,2,7967.03,63914.31,137415.7665,"VESTIBULUM ANTE IPSUM PRIMIS IN FAUCIBUS ORCI LUCTUS ET ULTRICES POSUERE CUBILIA CURAE; DUIS FAUCIBUS ACCUMSAN ODIO. CURABITUR CONVALLIS. DUIS CONSEQUAT DUI NEC NISI VOLUTPAT ELEIFEND. DONEC UT DOLOR. MORBI VEL LECTUS IN QUAM FRINGILLA RHONCUS. MAURIS ENIM LEO, RHONCUS SED, VESTIBULUM SIT AMET, CURSUS ID, TURPIS. INTEGER ALIQUET, MASSA ID LOBORTIS CONVALLIS, TORTOR RISUS DAPIBUS AUGUE, VEL ACCUMSAN TELLUS NISI EU ORCI."
20,,Acura,CL,2002,Aquamarine,Fuscia,209266,1,2082.25,69969.93,150435.3495,
21,,Acura,CL,2002,Aquamarine,Green,183951,0,9720.61,32317.04,69481.636,
22,,BMW,3 Series,1994,Goldenrod,Red,133623,0,562.82,32578.66,70044.119,
23,42,Pontiac,Bonneville,1993,Aquamarine,Purple,142372,2,6593.4,30549.76,65681.984,"NULLAM PORTTITOR LACUS AT TURPIS. DONEC POSUERE METUS VITAE IPSUM. ALIQUAM NON MAURIS. MORBI NON LECTUS. ALIQUAM SIT AMET DIAM IN MAGNA BIBENDUM IMPERDIET. NULLAM ORCI PEDE, VENENATIS NON, SODALES SED, TINCIDUNT EU, FELIS."
24,33,Acura,Integra,1994,Purple,Aquamarine,34534,1,8545.57,75589.38,162517.167,"DUIS MATTIS EGESTAS METUS. AENEAN FERMENTUM. DONEC UT MAURIS EGET MASSA TEMPOR CONVALLIS. NULLA NEQUE LIBERO, CONVALLIS EGET, ELEIFEND LUCTUS, ULTRICIES EU, NIBH. QUISQUE ID JUSTO SIT AMET SAPIEN DIGNISSIM VESTIBULUM. VESTIBULUM ANTE IPSUM PRIMIS IN FAUCIBUS ORCI LUCTUS ET ULTRICES POSUERE CUBILIA CURAE; NULLA DAPIBUS DOLOR VEL EST. DONEC ODIO JUSTO, SOLLICITUDIN UT, SUSCIPIT A, FEUGIAT ET, EROS. VESTIBULUM AC EST LACINIA NISI VENENATIS TRISTIQUE. FUSCE CONGUE, DIAM ID ORNARE IMPERDIET, SAPIEN URNA PRETIUM NISL, UT VOLUTPAT SAPIEN ARCU SED AUGUE."
25,33,Mazda,B-Series,2004,Puce,Purple,212328,3,3362.59,35440.56,76197.204,"PRAESENT BLANDIT. NAM NULLA. INTEGER PEDE JUSTO, LACINIA EGET, TINCIDUNT EGET, TEMPUS VEL, PEDE."
26,14,Ford,Ranger,2000,Yellow,Teal,222985,3,3292.84,24822.77,53368.9555,DONEC POSUERE METUS VITAE IPSUM. ALIQUAM NON MAURIS. MORBI NON LECTUS. ALIQUAM SIT AMET DIAM IN MAGNA BIBENDUM IMPERDIET.
27,,Acura,RL,2008,Orange,Maroon,107727,3,5811.79,64393.8,138446.67,
28,,Mazda,Mazda3,2006,Violet,Indigo,9418,0,119.95,21751.69,46766.1335,
29,46,Mitsubishi,Tredia,1987,Turquoise,Indigo,20294,1,7633.0,94524.31,203227.2665,"CRAS PELLENTESQUE VOLUTPAT DUI. MAECENAS TRISTIQUE, EST ET TEMPUS SEMPER, EST QUAM PHARETRA MAGNA, AC CONSEQUAT METUS SAPIEN UT NUNC."
30,37,Buick,Rendezvous,2006,Indigo,Purple,14279,3,8724.89,5309.53,11415.4895,AENEAN FERMENTUM. DONEC UT MAURIS EGET MASSA TEMPOR CONVALLIS.
31,99,Dodge,Ram 2500,1996,Khaki,Purple,11560,3,7321.71,85055.98,182870.357,"DONEC DIAM NEQUE, VESTIBULUM EGET, VULPUTATE UT, ULTRICES VEL, AUGUE. VESTIBULUM ANTE IPSUM PRIMIS IN FAUCIBUS ORCI LUCTUS ET ULTRICES POSUERE CUBILIA CURAE; DONEC PHARETRA, MAGNA VESTIBULUM ALIQUET ULTRICES, ERAT TORTOR SOLLICITUDIN MI, SIT AMET LOBORTIS SAPIEN SAPIEN NON MI. INTEGER AC NEQUE. DUIS BIBENDUM. MORBI NON QUAM NEC DUI LUCTUS RUTRUM. NULLA TELLUS. IN SAGITTIS DUI VEL NISL."
32,12,Porsche,928,1986,Blue,Goldenrod,50275,1,2174.03,88860.92,191050.978,"CURABITUR AT IPSUM AC TELLUS SEMPER INTERDUM. MAURIS ULLAMCORPER PURUS SIT AMET NULLA. QUISQUE ARCU LIBERO, RUTRUM AC, LOBORTIS VEL, DAPIBUS AT, DIAM. NAM TRISTIQUE TORTOR EU PEDE."
33,55,Chevrolet,3500,1997,Purple,Orange,169687,2,5457.05,28395.39,61050.0885,PRAESENT ID MASSA ID NISL VENENATIS LACINIA. AENEAN SIT AMET JUSTO.
34,50,Chevrolet,Camaro,2011,Red,Yellow,294135,1,3700.81,59316.55,127530.5825,"NULLA UT ERAT ID MAURIS VULPUTATE ELEMENTUM. NULLAM VARIUS. NULLA FACILISI. CRAS NON VELIT NEC NISI VULPUTATE NONUMMY. MAECENAS TINCIDUNT LACUS AT VELIT. VIVAMUS VEL NULLA EGET EROS ELEMENTUM PELLENTESQUE. QUISQUE PORTA VOLUTPAT ERAT. QUISQUE ERAT EROS, VIVERRA EGET, CONGUE EGET, SEMPER RUTRUM, NULLA. NUNC PURUS. PHASELLUS IN FELIS."
35,82,BMW,5 Series,1994,Turquoise,Green,82319,3,5111.94,29679.6,63811.14,"MORBI SEM MAURIS, LAOREET UT, RHONCUS ALIQUET, PULVINAR SED, NISL. NUNC RHONCUS DUI VEL SEM."
36,5,Pontiac,Fiero,1987,Goldenrod,Red,53511,3,3800.6,54836.49,117898.4535,NULLAM VARIUS. NULLA FACILISI. CRAS NON VELIT NEC NISI VULPUTATE NONUMMY. MAECENAS TINCIDUNT LACUS AT VELIT. VIVAMUS VEL NULLA EGET EROS ELEMENTUM PELLENTESQUE. QUISQUE PORTA VOLUTPAT ERAT.
37,21,Ford,Thunderbird,2002,Puce,Teal,45283,3,6202.96,19345.14,41592.051,"SED ANTE. VIVAMUS TORTOR. DUIS MATTIS EGESTAS METUS. AENEAN FERMENTUM. DONEC UT MAURIS EGET MASSA TEMPOR CONVALLIS. NULLA NEQUE LIBERO, CONVALLIS EGET, ELEIFEND LUCTUS, ULTRICIES EU, NIBH. QUISQUE ID JUSTO SIT AMET SAPIEN DIGNISSIM VESTIBULUM. VESTIBULUM ANTE IPSUM PRIMIS IN FAUCIBUS ORCI LUCTUS ET ULTRICES POSUERE CUBILIA CURAE; NULLA DAPIBUS DOLOR VEL EST. DONEC ODIO JUSTO, SOLLICITUDIN UT, SUSCIPIT A, FEUGIAT ET, EROS. VESTIBULUM AC EST LACINIA NISI VENENATIS TRISTIQUE."
38,50,Chevrolet,Astro,1992,Purple,Blue,239166,2,820.97,34524.37,74227.3955,"NAM CONGUE, RISUS SEMPER PORTA VOLUTPAT, QUAM PEDE LOBORTIS LIGULA, SIT AMET ELEIFEND PEDE LIBERO QUIS ORCI. NULLAM MOLESTIE NIBH IN LECTUS. PELLENTESQUE AT NULLA. SUSPENDISSE POTENTI."
39,,Toyota,Echo,2003,Khaki,Fuscia,65145,0,2147.45,67126.29,144321.5235,
40,34,Mercedes-Benz,500E,1993,Blue,Khaki,242223,0,6963.59,81559.81,175353.5915,"DUIS CONSEQUAT DUI NEC NISI VOLUTPAT ELEIFEND. DONEC UT DOLOR. MORBI VEL LECTUS IN QUAM FRINGILLA RHONCUS. MAURIS ENIM LEO, RHONCUS SED, VESTIBULUM SIT AMET, CURSUS ID, TURPIS. INTEGER ALIQUET, MASSA ID LOBORTIS CONVALLIS, TORTOR RISUS DAPIBUS AUGUE, VEL ACCUMSAN TELLUS NISI EU ORCI. MAURIS LACINIA SAPIEN QUIS LIBERO. NULLAM SIT AMET TURPIS ELEMENTUM LIGULA VEHICULA CONSEQUAT. MORBI A IPSUM. INTEGER A NIBH."
41,97,GMC,Yukon,1995,Goldenrod,Crimson,257801,1,7117.19,86598.41,186186.5815,"NAM ULTRICES, LIBERO NON MATTIS PULVINAR, NULLA PEDE ULLAMCORPER AUGUE, A SUSCIPIT NULLA ELIT AC NULLA. SED VEL ENIM SIT AMET NUNC VIVERRA DAPIBUS."
42,39,Mazda,RX-7,1987,Crimson,Indigo,255396,3,9965.47,20013.73,43029.5195,"MORBI VEL LECTUS IN QUAM FRINGILLA RHONCUS. MAURIS ENIM LEO, RHONCUS SED, VESTIBULUM SIT AMET, CURSUS ID, TURPIS. INTEGER ALIQUET, MASSA ID LOBORTIS CONVALLIS, TORTOR RISUS DAPIBUS AUGUE, VEL ACCUMSAN TELLUS NISI EU ORCI. MAURIS LACINIA SAPIEN QUIS LIBERO. NULLAM SIT AMET TURPIS ELEMENTUM LIGULA VEHICULA CONSEQUAT. MORBI A IPSUM. INTEGER A NIBH. IN QUIS JUSTO. MAECENAS RHONCUS ALIQUAM LACUS."
43,,Mazda,Protege,1993,Aquamarine,Mauv,206724,0,4779.84,23720.24,50998.516,
44,54,Porsche,Boxster,2010,Goldenrod,Crimson,156620,1,8672.19,11232.18,24149.187,"AENEAN SIT AMET JUSTO. MORBI UT ODIO. CRAS MI PEDE, MALESUADA IN, IMPERDIET ET, COMMODO VULPUTATE, JUSTO."
45,3,Infiniti,I,1997,Orange,Pink,131654,3,2685.46,10713.65,23034.3475,"QUISQUE UT ERAT. CURABITUR GRAVIDA NISI AT NIBH. IN HAC HABITASSE PLATEA DICTUMST. ALIQUAM AUGUE QUAM, SOLLICITUDIN VITAE, CONSECTETUER EGET, RUTRUM AT, LOREM. INTEGER TINCIDUNT ANTE VEL IPSUM. PRAESENT BLANDIT LACINIA ERAT. VESTIBULUM SED MAGNA AT NUNC COMMODO PLACERAT. PRAESENT BLANDIT. NAM NULLA. INTEGER PEDE JUSTO, LACINIA EGET, TINCIDUNT EGET, TEMPUS VEL, PEDE."
46,34,Ford,Escape,2004,Red,Orange,207409,1,271.54,91117.02,195901.593,"INTEGER TINCIDUNT ANTE VEL IPSUM. PRAESENT BLANDIT LACINIA ERAT. VESTIBULUM SED MAGNA AT NUNC COMMODO PLACERAT. PRAESENT BLANDIT. NAM NULLA. INTEGER PEDE JUSTO, LACINIA EGET, TINCIDUNT EGET, TEMPUS VEL, PEDE. MORBI PORTTITOR LOREM ID LIGULA."
47,23,Ford,Thunderbird,1983,Teal,Blue,115995,0,323.0,16376.41,35209.2815,"IN BLANDIT ULTRICES ENIM. LOREM IPSUM DOLOR SIT AMET, CONSECTETUER ADIPISCING ELIT. PROIN INTERDUM MAURIS NON LIGULA PELLENTESQUE ULTRICES. PHASELLUS ID SAPIEN IN SAPIEN IACULIS CONGUE. VIVAMUS METUS ARCU, ADIPISCING MOLESTIE, HENDRERIT AT, VULPUTATE VITAE, NISL. AENEAN LECTUS."
48,2,Acura,NSX,1994,Green,Mauv,215446,1,938.47,39389.68,84687.812,"CRAS NON VELIT NEC NISI VULPUTATE NONUMMY. MAECENAS TINCIDUNT LACUS AT VELIT. VIVAMUS VEL NULLA EGET EROS ELEMENTUM PELLENTESQUE. QUISQUE PORTA VOLUTPAT ERAT. QUISQUE ERAT EROS, VIVERRA EGET, CONGUE EGET, SEMPER RUTRUM, NULLA. NUNC PURUS. PHASELLUS IN FELIS. DONEC SEMPER SAPIEN A LIBERO."
49,15,Chevrolet,G-Series 2500,1996,Red,Teal,73124,1,8956.14,60469.16,130008.694,"DONEC DIAM NEQUE, VESTIBULUM EGET, VULPUTATE UT, ULTRICES VEL, AUGUE. VESTIBULUM ANTE IPSUM PRIMIS IN FAUCIBUS ORCI LUCTUS ET ULTRICES POSUERE CUBILIA CURAE; DONEC PHARETRA, MAGNA VESTIBULUM ALIQUET ULTRICES, ERAT TORTOR SOLLICITUDIN MI, SIT AMET LOBORTIS SAPIEN SAPIEN NON MI."
50,6,Isuzu,Hombre,2000,Indigo,Teal,96102,3,3935.74,92441.49,198749.2035,"MORBI NON LECTUS. ALIQUAM SIT AMET DIAM IN MAGNA BIBENDUM IMPERDIET. NULLAM ORCI PEDE, VENENATIS NON, SODALES SED, TINCIDUNT EU, FELIS. FUSCE POSUERE FELIS SED LACUS."
51,71,Volvo,240,1992,Goldenrod,Purple,240716,2,8327.89,18321.56,39391.354,"LOREM IPSUM DOLOR SIT AMET, CONSECTETUER ADIPISCING ELIT. PROIN INTERDUM MAURIS NON LIGULA PELLENTESQUE ULTRICES. PHASELLUS ID SAPIEN IN SAPIEN IACULIS CONGUE. VIVAMUS METUS ARCU, ADIPISCING MOLESTIE, HENDRERIT AT, VULPUTATE VITAE, NISL. AENEAN LECTUS. PELLENTESQUE EGET NUNC. DONEC QUIS ORCI EGET ORCI VEHICULA CONDIMENTUM."
52,,Land Rover,Range Rover Sport,2009,Pink,Purple,100342,3,9886.36,71333.55,153367.1325,
53,42,McLaren,MP4-12C,2012,Goldenrod,Fuscia,6008,0,3306.85,84420.39,181503.8385,"MORBI VEL LECTUS IN QUAM FRINGILLA RHONCUS. MAURIS ENIM LEO, RHONCUS SED, VESTIBULUM SIT AMET, CURSUS ID, TURPIS. INTEGER ALIQUET, MASSA ID LOBORTIS CONVALLIS, TORTOR RISUS DAPIBUS AUGUE, VEL ACCUMSAN TELLUS NISI EU ORCI. MAURIS LACINIA SAPIEN QUIS LIBERO. NULLAM SIT AMET TURPIS ELEMENTUM LIGULA VEHICULA CONSEQUAT."
54,1,Honda,Odyssey,1996,Maroon,Violet,262220,3,8703.35,38479.73,82731.4195,"DONEC QUIS ORCI EGET ORCI VEHICULA CONDIMENTUM. CURABITUR IN LIBERO UT MASSA VOLUTPAT CONVALLIS. MORBI ODIO ODIO, ELEMENTUM EU, INTERDUM EU, TINCIDUNT IN, LEO. MAECENAS PULVINAR LOBORTIS EST. PHASELLUS SIT AMET ERAT. NULLA TEMPUS. VIVAMUS IN FELIS EU SAPIEN CURSUS VESTIBULUM. PROIN EU MI."
55,60,Bentley,Mulsanne,2012,Turquoise,Maroon,124318,1,2673.78,61298.63,131792.0545,SED ANTE. VIVAMUS TORTOR. DUIS MATTIS EGESTAS METUS.
56,,Lotus,Esprit,1992,Teal,Fuscia,69476,1,6375.81,20300.3,43645.645,
57,,Oldsmobile,Achieva,1998,Puce,Teal,258138,2,1495.0,24862.77,53454.9555,
58,45,Audi,S8,2006,Violet,Pink,160904,2,1169.21,52728.44,113366.146,"VIVAMUS TORTOR. DUIS MATTIS EGESTAS METUS. AENEAN FERMENTUM. DONEC UT MAURIS EGET MASSA TEMPOR CONVALLIS. NULLA NEQUE LIBERO, CONVALLIS EGET, ELEIFEND LUCTUS, ULTRICIES EU, NIBH."
59,30,Buick,Park Avenue,1993,Red,Fuscia,121288,3,2037.83,55591.26,119521.209,"MORBI NON LECTUS. ALIQUAM SIT AMET DIAM IN MAGNA BIBENDUM IMPERDIET. NULLAM ORCI PEDE, VENENATIS NON, SODALES SED, TINCIDUNT EU, FELIS. FUSCE POSUERE FELIS SED LACUS. MORBI SEM MAURIS, LAOREET UT, RHONCUS ALIQUET, PULVINAR SED, NISL. NUNC RHONCUS DUI VEL SEM."
60,64,Toyota,Tundra,2004,Violet,Red,130182,0,6356.98,6204.46,13339.589,"MAECENAS UT MASSA QUIS AUGUE LUCTUS TINCIDUNT. NULLA MOLLIS MOLESTIE LOREM. QUISQUE UT ERAT. CURABITUR GRAVIDA NISI AT NIBH. IN HAC HABITASSE PLATEA DICTUMST. ALIQUAM AUGUE QUAM, SOLLICITUDIN VITAE, CONSECTETUER EGET, RUTRUM AT, LOREM. INTEGER TINCIDUNT ANTE VEL IPSUM. PRAESENT BLANDIT LACINIA ERAT. VESTIBULUM SED MAGNA AT NUNC COMMODO PLACERAT. PRAESENT BLANDIT."
61,22,Honda,Odyssey,2012,Orange,Pink,195365,3,7930.57,39628.05,85200.3075,"IN HAC HABITASSE PLATEA DICTUMST. MORBI VESTIBULUM, VELIT ID PRETIUM IACULIS, DIAM ERAT FERMENTUM JUSTO, NEC CONDIMENTUM NEQUE SAPIEN PLACERAT ANTE. NULLA JUSTO. ALIQUAM QUIS TURPIS EGET ELIT SODALES SCELERISQUE. MAURIS SIT AMET EROS. SUSPENDISSE ACCUMSAN TORTOR QUIS TURPIS. SED ANTE. VIVAMUS TORTOR. DUIS MATTIS EGESTAS METUS."
62,58,Chevrolet,Suburban 1500,2011,Violet,Turquoise,67129,2,1039.73,51364.77,110434.2555,"MORBI ODIO ODIO, ELEMENTUM EU, INTERDUM EU, TINCIDUNT IN, LEO. MAECENAS PULVINAR LOBORTIS EST. PHASELLUS SIT AMET ERAT. NULLA TEMPUS."
63,,Lexus,IS,2002,Crimson,Crimson,154350,2,1710.94,28159.92,60543.828,
64,,Mitsubishi,Pajero,1994,Teal,Orange,1933,1,4033.91,8651.82,18601.413,
65,48,Hyundai,Accent,2011,Turquoise,Mauv,215115,0,4636.76,97561.18,209756.537,MAECENAS PULVINAR LOBORTIS EST. PHASELLUS SIT AMET ERAT. NULLA TEMPUS. VIVAMUS IN FELIS EU SAPIEN CURSUS VESTIBULUM. PROIN EU MI. NULLA AC ENIM.
66,,Dodge,Grand Caravan,2000,Purple,Blue,168150,0,5462.52,16797.31,36114.2165,
67,79,Mazda,Mazda5,2010,Maroon,Crimson,95938,2,7720.21,86497.08,185968.722,"PROIN EU MI. NULLA AC ENIM. IN TEMPOR, TURPIS NEC EUISMOD SCELERISQUE, QUAM TURPIS ADIPISCING LOREM, VITAE MATTIS NIBH LIGULA NEC SEM. DUIS ALIQUAM CONVALLIS NUNC. PROIN AT TURPIS A PEDE POSUERE NONUMMY. INTEGER NON VELIT."
68,27,Hummer,H1,2004,Green,Fuscia,243190,2,4050.39,22367.49,48090.1035,SUSPENDISSE ACCUMSAN TORTOR QUIS TURPIS. SED ANTE.
69,,Toyota,Camry,2001,Goldenrod,Goldenrod,159651,0,2103.48,6956.19,14955.8085,
70,97,Land Rover,LR4,2010,Puce,Khaki,213832,1,9030.67,26214.41,56360.9815,"DUIS AT VELIT EU EST CONGUE ELEMENTUM. IN HAC HABITASSE PLATEA DICTUMST. MORBI VESTIBULUM, VELIT ID PRETIUM IACULIS, DIAM ERAT FERMENTUM JUSTO, NEC CONDIMENTUM NEQUE SAPIEN PLACERAT ANTE. NULLA JUSTO. ALIQUAM QUIS TURPIS EGET ELIT SODALES SCELERISQUE. MAURIS SIT AMET EROS. SUSPENDISSE ACCUMSAN TORTOR QUIS TURPIS. SED ANTE. VIVAMUS TORTOR."
71,44,Hyundai,Azera,2008,Blue,Mauv,185127,1,7151.06,76382.87,164223.1705,"SED ANTE. VIVAMUS TORTOR. DUIS MATTIS EGESTAS METUS. AENEAN FERMENTUM. DONEC UT MAURIS EGET MASSA TEMPOR CONVALLIS. NULLA NEQUE LIBERO, CONVALLIS EGET, ELEIFEND LUCTUS, ULTRICIES EU, NIBH. QUISQUE ID JUSTO SIT AMET SAPIEN DIGNISSIM VESTIBULUM. VESTIBULUM ANTE IPSUM PRIMIS IN FAUCIBUS ORCI LUCTUS ET ULTRICES POSUERE CUBILIA CURAE; NULLA DAPIBUS DOLOR VEL EST."
